제품명,기능성,processed_text
더 튼튼쑥쑥 키즈,"* 비타민A
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 철
① 체내 산소운반과 혈액생성에 필요
② 에너지 생성에 필요

* 칼슘
① 뼈와 치아 형성에 필요
② 신경과 근육 기능 유지에 필요
③ 정상적인 혈액응고에 필요
④ 골다공증발생 위험 감소에 도움을 줌",비타민 피부 점막 상피세포 비타민 에너지 비타민 칼슘 인 뼈 골다공증 감소 아연 면역 엽산 혈액 태아 경관 혈액 시스테인 철 산소 운반 혈액 에너지 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
더 파르마 오메가3 베이직,"[EPA및 DHA 함유유지] 
①혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음
②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[비타민 E] 
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 눈 눈 비타민 항산화 산소
더 파르마 유산균 II,유산균 증식 및 유해균 억제·배변활동 원활·장 건강에 도움을 줄 수 있음,유산균 균 배변 장
더 파르마 카르니틴,"[L-카르니틴타르트레이트] 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급), 운동으로 인한 피로개선에 도움을 줄 수 있음

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",카르니틴 타르트 레이 트 체지방 감소 생리 활 운동 피로 비타민 철 항산화 산소 아연 면역 판토텐산 지방 단백질 에너지 비타민 단백질 아미노산 혈액 시스테인 비오틴 지방 단백질 에너지
더 퍼스트,①혈중 콜레스테롤 개선에 도움을 줄 수 있음 ②배변활동원활에 도움을 줄 수 있음,콜레스테롤 배변
더 퍼스트 루테인 지아잔틴,"(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
(영문) May support eye health by maintaining the density of macular pigments which can be affected by aging
",노화 감소 황반 색소 밀도 눈
더 퍼스트 포스트바이오틱스,"- 프로바이오틱스: 유익균 증식 및 유해균 억제, 배변활동 원활에 도움을 줄 수 있음
- 프락토올리고당: 장내 유익균 증식 및 배변활동 원활에 도움을 줄 수 있음
- 판토텐산: 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
- 아연: 정상적인 면역기능에 필요, 정상적인 세포분열에 필요",프로바이오틱스 유익 균 균 배변 프락 토 올리고당 장내 유익 균 배변 판토텐산 지방 단백질 에너지 아연 면역
더 퍼펙트 모나바 맥스,"[홍국] ①혈중 콜레스테롤 개선에 도움을 줄 수 있음
[바나바잎 추출물] ①식후 혈당상승 억제에 도움을 줄 수 있음",콜레스테롤 바나바 잎 물 식후 혈당 상승
더 프로바이오,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장건강에 도움을 줄 수 있음

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[셀렌] 유해산소로부터 세포를 보호하는데 필요

[비타민 D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",프로바이오틱스 유산균 균 배변 장 아연 면역 셀렌 산소 비타민 칼슘 인 뼈 골다공증 감소
더 프로바이오 슬림,"[프로바이오틱스] 유산균 증식 및 유해균 억제 • 배변활동 원활 • 장 건강에 도움을 줄 수 있음
[가르시니아캄보지아 추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",프로바이오틱스 유산균 균 배변 장 아캄 보지 물 지방 체지방 감소 비오틴 지방 단백질 에너지
더 프로바이오틱스,"프로바이오틱스 : 유산균 증식 및 유해균 억제·배변활동 원활, 장건강에 도움을 줄 수 있음
셀렌 : ①유해산소로부터 세포를 보호하는데 필요
아연 : ①정상적인 면역기능에 필요②정상적인 세포분열에 필요",프로바이오틱스 유산균 균 배변 장 셀렌 산소 아연 면역
더 플라워밍 우먼,"[회화나무열매추출물]
갱년기 여성의 건강에 도움을 줄 수 있음
[감마리놀렌산함유유지]
-혈중 콜레스테롤 개선·혈행개선·월경전 변화에 의한 불편한 상태 개선·면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]
-항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",회화나무 물 갱년기 여성 감마 리놀렌산 콜레스테롤 혈행 경전 변화 상태 면역 과민반응 피부 상태 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소
더 플로우 프로바이오틱스(The Flow Probiotics),"* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 프로바이오틱스
① 유산균 증식 및 유해균 억제에 도움을 줄 수 있음
② 배변활동 원활에 도움을 줄 수 있음
③ 장건강에 도움을 줄 수 있음",비타민 칼슘 인 뼈 골다공증 감소 아연 면역 프로바이오틱스 유산균 균 배변 장
더 힘찬 간애보,"간건강에 도움을 줄 수 있음

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요",간 단백질 아미노산 혈액 시스테인 지방 단백질 에너지 면역
더 힘찬관절 포르테,"[엠에스엠(MSM)] 관절 및 연골건강에 도움을 줄 수 있음
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",엠에스 엠 관절 연골 비타민 항산화 산소
더(THE) 간편한 비건 밀크씨슬,[밀크씨슬추출물] 간 건강에 도움을 줄 수 있음,밀크 슬 물 간
더(THE) 굿조인,[N-아세틸글루코사민]: ①관절 및 연골건강에 도움을 줄 수 있음,틸글루 코 민 관절 연골
더(THE)조은 마카 블랙라벨,"정자 운동성 개선에 도움을 줄 수 있음
①체내 에너지 생성에 필요
①정상적인 면역기능에 필요②정상적인 세포분열에 필요
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①탄수화물과 에너지 대사에 필요
①체내 에너지 생성에 필요
①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①정상적인 엽산 대사에 필요",정자 운동 에너지 면역 지방 단백질 에너지 단백질 아미노산 혈액 시스테인 에너지 에너지 혈액 태아 경관 혈액 시스테인 엽산
더(THE)진한홍삼필름,①면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음,면역 피로 혈액 기억 항산화
더(THE)케어플러스,"[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요",비타민 칼슘 인 뼈 골다공증 감소 아연 면역
더:단백 면역+ 케어프로틴,"[단백질]근육, 결합조직 등 신체조직의 구성성분, 효소 , 호르몬  항체의 구성에 필요
[NAG] 관절 및 연골건강에 도움을 줄 수 있음
[칼슘] 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[비타민B6] 단백질 및 아미노산 이용에 필요
[아연] 정상적인 면역 기능에 필요
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀레늄] 유해 산소로 부터 세포를 보호하는데 필요",단백질 근육 신체 조직 구성 성분 효소 호르몬 항체 구성 관절 연골 칼슘 뼈 치아 신경 근육 골다공증 감소 마그네슘 에너지 신경 근육 비타민 칼슘 인 뼈 골다공증 감소 비타민 단백질 아미노산 아연 면역 판토텐산 지방 단백질 에너지 셀레늄 산소
더:해 비타민D 2000IU,[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌,비타민 칼슘 인 뼈 골다공증 감소
더:해 츄어블 비타민D 5000IU,①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌,칼슘 인 뼈 골다공증 감소
더AQ오메가3,"[비타민 D]
칼슘과 인이 흡수되고 이용되는데 필요
뼈의 형성과 유지에 필요
골다공증발생 위험 감소에 도움을 줌

[비타민 E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[EPA 및 DHA 함유 유지]
혈중 중성지질 개선･혈행 개선･기억력 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
",비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소 중성 지질 혈행 기억 눈 눈
더건강한비타민,"1) 비타민A : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장
	    과 발달에 필요.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B2 : 체내 에너지 생성에 필요.
4) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
5) 비타민B12 : 정상적인 엽산 대사에 필요.
6) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
7) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌. 
8) 비타민E : 유해산소로부터 세포를 보호하는데 필요.
9) 비타민K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요. 
10) 베타카로틴 : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장        과 발달에 필요.
11) 엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 
	  필요. 
12) 나이아신 : 체내 에너지 생성에 필요.　
13) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
14) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
15) 칼슘 : 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌
16) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
17) 철 : 체내 산소운반과 혈액생성에 필요, 에너지 생성에 필요.
18) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
19) 구리 : 철의 운반과 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
20) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.
21) 요오드 : 갑상선 호르몬의 합성에 필요, 에너지 생성에 필요, 신경발달에 필요. 
22) 망간 : 뼈 형성에 필요, 에너지 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
23) 몰리브덴 : 산화 · 환원 효소의 활성에 필요. 
24) 크롬",비타민 피부 점막 상피세포 비타민 에너지 비타민 에너지 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 철 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 산소 비타민 혈액 뼈 구성 베타카로틴 피부 점막 상피세포 엽산 혈액 태아 경관 혈액 시스테인 나이아신 에너지 판토텐산 지방 단백질 에너지 비오틴 지방 단백질 에너지 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 철 산소 운반 혈액 에너지 아연 면역 구리 철 운반 산소 셀렌 산소 요오드 갑상선 호르몬 에너지 망간 뼈 에너지 산소 몰리브덴 산화 환원 효소 활 크롬
더건강한아침,"1) 테아닌 :  스트레스로 인한 긴장완화에 도움을 줄 수 있음. 
2) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
3) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
4) 비타민E : 유해산소로부터 세포를 보호하는데 필요
5) 나이아신 : 체내 에너지 생성에 필요.　
6) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
7) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
8) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
9) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.",테아닌 스트레스 긴장 완화 비타민 단백질 아미노산 혈액 시스테인 비타민 철 산소 비타민 산소 나이아신 에너지 판토텐산 지방 단백질 에너지 마그네슘 에너지 신경 근육 아연 면역 셀렌 산소
더건강한에너지,"1) 비타민B1 : 탄수화물과 에너지 대사에 필요.
2) 비타민B2 : 체내 에너지 생성에 필요.
3) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
4) 비타민B12 : 정상적인 엽산 대사에 필요.
5) 나이아신 : 체내 에너지 생성에 필요.
6) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
7) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
8) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
9) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.",비타민 에너지 비타민 에너지 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 나이아신 에너지 판토텐산 지방 단백질 에너지 비오틴 지방 단백질 에너지 아연 면역 셀렌 산소
더건강한혈행,"1) 은행잎추출물 : 기억력 개선 · 혈행 개선에 도움을 줄 수 있음.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
4) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
5) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
6) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.
7) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.",은행 잎 물 기억 혈행 비타민 에너지 비타민 단백질 아미노산 혈액 시스테인 비타민 철 산소 판토텐산 지방 단백질 에너지 아연 면역 셀렌 산소
더고래 쏘팔메토 옥타코사놀 맥스,"[쏘팔메토열매추출물] 전립선 건강의 유지에 도움을 줄 수 있음
[옥타코사놀함유유지] 지구력 증진에 도움을 줄 수 있음
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B2] 체내 에너지 생성에 필요
[나이아신] 체내 에너지 생성에 필요
[셀렌] 유해산소로부터 세포를 보호하는데 필요
[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",팔메 토 물 전립선 옥 타코 놀 지구력 비타민 에너지 비타민 에너지 나이아신 에너지 셀렌 산소 아연 면역 판토텐산 지방 단백질 에너지
더고래 쏘팔메토 옥타코사놀 플러스,"[쏘팔메토열매추출물] 전립선 건강의 유지에 도움을 줄 수 있음
[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요
[옥타코사놀함유유지] 지구력 증진에 도움을 줄 수 있음
[나이아신] 체내 에너지 생성에 필요
[비타민B6] ①단백질 및 아미노산 이용에 필요 ②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B2] 체내 에너지 생성에 필요
[엽산] ①세포와 혈액생성에 필요 ②태아 신경관의 정상 발달에 필요 ③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",팔메 토 물 전립선 아연 면역 옥 타코 놀 지구력 나이아신 에너지 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 비타민 에너지 엽산 혈액 태아 경관 혈액 시스테인
더골드 6년근 홍삼정 스틱,[홍삼] 면역력 증진･피로개선･혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화에 도움을 줄 수 있음,홍삼 면역 피로 혈액 기억 항산화
더굿슬립,"[비타민B6]
단백질 및 아미노산 이용에 필요
혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[마그네슘]
에너지 이용에 필요
신경과 근육 기능 유지에 필요

[테아닌]
스트레스로 인한 긴장완화에 도움을 줄 수 있음

[아쉬아간다 추출물(Shoden®)(제2022-27호)]
(국문) 수면건강에 도움을 줄 수 있음
(영문) May help to improve sleep quality",비타민 단백질 아미노산 혈액 시스테인 마그네슘 에너지 신경 근육 테아닌 스트레스 긴장 완화 간다 물 수면
더기운찬 건강,①면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음,면역 피로 혈액 기억 항산화
더끌림 유산균,"유산균 증식 및 유해균 억제·배변활동 원활·장 건강에 도움을 줄 수 있음

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①유해산소로부터 세포를 보호하는데 필요",유산균 균 배변 장 면역 산소
더나은 rTG 오메가3," EPA 및 DHA 함유 유지 : 혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 눈 눈 항산화 산소
더나은 루테인아스타잔틴,"[루테인] 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음.
[아스타잔틴] 눈의 피로도 개선에 도움을 줄 수 있음.
[비타민A] 어두운 곳에서 시각 적응을 위해 필요. 피부와 점막을 형성하고 기능을 유지하는데 필요. 상피세포의 성장과 발달에 필요.",루테 노화 감소 황반 색소 밀도 눈 아스타 잔틴 눈 피로 비타민 피부 점막 상피세포
더나은 리포좀 비타민C 500,①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요,철 항산화 산소
